id,adresse,postcode,city
"86509","chez Locadress Immeuble le Colibri 97150 Saint-Martin","97150","Saint-Martin"
"86511","cale Locadress Immeuble le Colibri 97150 Saint-Martin","97150","Saint-Martin"
"86790","RN 518 la Murière 38540 Heyrieux","38540","Heyrieux"
"87748","3 allée Sainte-Lucie Centre Commercial les 3 Moulins 92130 Issy-les- Moulineaux","92130","Issy-les- Moulineaux"
"88266","22 impasse du Petit Brandeau Bureau n°4 ZA Rue du Petit Brandeau 85300 Le Perrier","85300","Le Perrier"
"88295","7 Chemin des Ardillières 41100 Seigy","41100","Seigy"
"88571","11 rue Marcelin Berthelot ZI République 3 86000 Poitiers","86000","Poitiers"
"88934","bassin Est Secteur Porte 4 13002 Marseille","13002","Marseille"
"88957","5770 5 Ème Avenue 17 Ème Rue 06516 Carros","06516","Carros"
"91686","zone artisanale les Haies de Châtillon 45700 Montcresson","45700","Montcresson"
"92566","Montlogis 72440 Volnay","72440","Volnay"
"92838","“Boqueleche” 56250 Elven","56250","Elven"
"93301","20G chemin Summer N1 97434 Saint-Paul","97434","Saint-Paul"
"94222","-8 place de la République 54000 Nancy","54000","Nancy"
"96061","zone artisanale le Parc de la Porte Nord Rue Georges Charpak 62700 Bruay-la-Buissière","62700","Bruay-la-Buissière"
"96691","Zone Artisanale le Camp Perrier Chaussée d'An 27370 le thuit de l'oison","27370","le thuit de l'oison"
"96929","Quartier Léry Route Nationale 63 83500 La Seyne-sur-Mer","83500","La Seyne-sur-Mer"
"98121","235 boulevard de Tournai les Terrasses du Stade Lot N°8 Grand Stade Lille Métropole 59650 Villeneuve-d'Ascq","59650","Villeneuve-d'Ascq"
"98411","34 place du Général de Gaulle Bureau 3 59000 Lille","59000","Lille"
"98576","79 Chemin Summer N1 97434 SAINT-GILLES-LES-BAINS","97434","SAINT-GILLES-LES-BAINS"
"100065","34 place du Général de Gaulle Bureau 3 59000 Lille","59000","Lille"
"100067","38 boulevard Carnot Bureau 3 59800 Lille","59800","Lille"
"100109","208 rue Jean Jaurès Cellule N 6 59650 Villeneuve-d'Ascq","59650","Villeneuve-d'Ascq"
"100138","immeuble le Doigt de Gant 97150 Saint-Martin","97150","Saint-Martin"
"101098","les Faisses la Tour de Franque 04107 Manosque Cedex","04107","Manosque Cedex"
"101469","""Les Opinions"" 72210 ROEZE SUR SARTHE","72210","ROEZE SUR SARTHE"
"103214","-42 rue Eugène Carrière 75018 Paris","75018","Paris"
"103660","centre Commercial ""Les Flâneries"" 85000 La Roche sur Yon","85000","La Roche sur Yon"
